Fecha,España,Portugal,Italia
1T 2019,316998,85187,404659
2T 2019,372174,96173,489329
3T 2019,400830,102779,529245
4T 2019,354919,93584,472760
1T 2020,332100,90344,411419
2T 2020,335188,89254,420884
3T 2020,342866,91361,423866
4T 2020,307107,81661,368720
1T 2021,288028,76817,336639
2T 2021,317741,83037,385526
3T 2021,320959,83619,378507
4T 2021,290641,76200,336885
1T 2022,283372,75134,315509
2T 2022,347733,88073,420828
3T 2022,369452,93366,439009
4T 2022,327301,85975,386853
1T 2023,314454,83845,352565